id,Name,titleProject_id,class,score
123977428,Сербин Геннадий Михаилович,7,8в,2
330545835,Папандина Клавдия Яковлевна,304,9в,5
191708146,Белагина Галина Андреевна,396,9а,4
392436550,Кижняева Анна Леонидовна,178,7и,2
337448035,Цывин Олег Яковлевич,446,7т,2
428470141,Жидняева Ксения Эдуардовна,373,7х,4
944561824,Липковский Анатолий Иванович,144,10а,2
430793508,Меднова Наталья Богдановна,290,7и,5
736568103,Житихин Вячеслав Романович,141,9а,5
409161438,Шеврина Полина Максимовна,33,11а,5
135349014,Алпеев Валентин Данилович,323,8а,2
37457150,Золикова Клара Игоревна,364,10х,2
302448227,Дориков Дмитрий Петрович,296,10г,5
123141809,Корабышев Кирилл Михаилович,302,8и,5
16577500,Ростовиков Константин Николаевич,336,10а,2
831163420,Нехаев Дмитрий Фёдорович,129,7х,4
557490280,Зызлова Мария Николаевна,430,8г,3
946104298,Королупов Валерий Тимофеевич,397,10д,5
717456015,Стенцов Евгений Яковлевич,315,8и,4
878160565,Феклисов Константин Виталиевич,270,9т,None
578374610,Синелев Руслан Тимофеевич,300,8и,2
309728434,Опевалова Вера Евгеньевна,473,9д,5
936596914,Назерова Вероника Василевна,206,7б,5
716539341,Дименская Светлана Дмитриевна,387,9д,5
936527935,Ковторева Раиса Василевна,482,9и,2
666897267,Кулишнин Вячеслав Яковлевич,386,11х,5
655731199,Лексин Кирилл Антонович,139,7в,5
686539691,Лаковский Григорий Василиевич,240,7д,5
811918120,Барамыкова Александра Алексеевна,106,10а,3
989344490,Плясулина Оксана Андреевна,346,8х,2
501505074,Петрикеев Станислав Яковлевич,14,7и,4
325242945,Моторыгин Илья Георгиевич,238,10и,5
645117747,Рыков Тарас Павлович,174,10и,5
876600157,Иончикова Елизавета Егоровна,169,8д,5
512426554,Смолькина Алиса Егоровна,441,7г,5
811657198,Оболенин Герасим Павлович,472,7и,4
622219611,Трощинский Георгий Борисович,67,9д,3
539290580,Поддубская Лиза Игоревна,496,10а,4
728651596,Телькова Валерия Олеговна,335,7х,4
732116503,Чигварина Александра Алексеевна,428,10б,2
233357305,Киреевский Артур Игоревич,119,7в,3
884824949,Шумейкин Роман Павлович,420,8в,5
106329792,Трушинов Максим Алексиевич,82,8и,4
198604133,Голюков Денис Сергеевич,62,11б,4
1984008,Хлиманкова Надежда Валерьевна,461,10б,3
843091590,Кулаженков Алексей Олегович,367,10в,2
528363478,Бутукин Владимир Адамович,221,7х,5
192250197,Поддуев Леонид Олегович,149,9х,4
880322742,Ревцев Василий Павлович,360,9х,5
566348065,Старокожев Артём Юрьевич,46,8д,3
553238947,Светошев Максим Михаилович,321,10х,2
131313655,Старынина Кристина Федоровна,266,9д,3
891548276,Востров Дмитрий Денисович,282,9г,3
893056780,Бураханова Анастасия Леонидовна,16,8г,2
553750427,Понизов Виктор Кириллович,214,11и,5
622480837,Суздалев Валерий Алексеевич,66,11т,5
721265202,Колендин Дмитрий Алексеевич,153,10в,4
997441848,Сулькова Екатерина Андреевна,325,8и,4
461238903,Аржевитова Надежда Федоровна,242,10в,2
989853618,Крассов Валерий Олегович,201,8х,5
418654888,Сонураева Инна Андреевна,450,9т,3
284051109,Пашин Роман Вадимович,204,10д,2
739321394,Фичкина Евгения Федоровна,29,11д,3
289729004,Свилин Олег Виталиевич,123,8в,2
809983659,Рогоцкий Андрей Адамович,142,9в,2
197765348,Ахантьев Игорь Валериевич,80,10д,5
530948304,Сочиникова Ксения Кирилловна,100,10д,2
339070458,Остюков Артур Романович,329,11и,3
760179033,Брюкина Оксана Викторовна,98,8в,5
552854469,Кузовенков Игорь Юрьевич,322,9г,None
900932719,Калухов Тарас Иванович,207,11а,3
235534007,Батыров Пётр Виталиевич,227,7и,3
795148722,Озрина Катерина Валерьевна,147,10а,4
309967621,Декалова Полина Леонидовна,470,11д,5
838316186,Лосицкий Владимир Кириллович,369,9т,5
395009652,Магнусов Пётр Максимович,437,7и,5
471162595,Лавренков Михаил Василиевич,188,9б,2
623949494,Шушкалова Вероника Алексеевна,411,8т,5
583888215,Бороданова Маргарита Дмитриевна,118,7г,5
426570982,Циркина Виолетта Федоровна,231,9г,2
156337470,Болохина Екатерина Андреевна,194,11д,3
867331077,Чукалова Дарья Валерьевна,20,10г,4
400017416,Беловолов Степан Петрович,222,9д,2
805573638,Зудейкина Вероника Ивановна,166,8и,3
142438898,Макунова Мария Борисовна,47,9в,5
335866351,Верзанский Геннадий Андреевич,497,7д,5
436958393,Алтубин Ярослав Леонидович,414,10г,5
539207062,Аузин Игорь Алексиевич,435,8х,5
321643586,Калыгин Степан Тимофеевич,353,8и,2
949454576,Дурныгина Полина Игоревна,72,8и,2
801860202,Антюфеева Александра Вадимовна,347,8и,2
854704458,Лощинский Борис Романович,210,10б,3
346234162,Ходорков Евгений Виталиевич,344,9г,5
78105906,Кафорин Федор Данилович,427,10д,3
356825659,Косынская Алиса Дмитриевна,40,9в,3
10385101,Беремцев Артём Антонович,434,11т,2
870253971,Влянская Мария Андреевна,490,7т,4
763878124,Мыгеева Лиза Василевна,280,8в,5
662899337,Акутникова Мария Алексеевна,173,11в,2
876718030,Карябкин Константин Максимович,89,7и,2
103412825,Прилепина Яна Максимовна,30,10в,5
893892574,Ведищев Никита Георгиевич,365,7и,5
584302717,Самчева Вероника Борисовна,287,10г,3
722914242,Пирцхалова Карина Леонидовна,452,10г,5
496354033,Павлочев Денис Борисович,432,11д,5
334582945,Арашкова Екатерина Евгеньевна,356,8х,None
157362941,Байсарова Людмила Василевна,215,11и,2
621676601,Кудекина Зинаида Игоревна,250,10и,3
732926634,Дерналов Виталий Викторович,1,9г,4
972054969,Сазинова Галина Романовна,61,9и,3
288176301,Остаченова Марина Эдуардовна,229,9т,5
922334942,Битюкова Яна Егоровна,488,9и,4
355132999,Иваницкий Константин Борисович,232,8д,5
958460694,Белянский Владислав Игоревич,74,11б,5
104870584,Баранкин Артём Алексеевич,382,9т,2
522156068,Шкабанова Софья Вадимовна,499,9х,4
171700591,Полозлов Денис Адамович,155,8т,3
742295391,Жунина Светлана Михайловна,162,8в,3
232007926,Пантыкин Борис Игоревич,245,9х,2
36602918,Доутова Марина Богдановна,189,11х,2
201207899,Трещалова Яна Андреевна,330,8б,3
696158461,Ивашечкин Александр Данилович,390,10т,4
571166697,Мазьянова Инна Богдановна,416,11в,4
375116454,Корогев Николай Евгеньевич,184,8б,5
990321008,Заидова Галина Максимовна,88,9т,4
116911686,Рамхин Кирилл Алексиевич,459,9х,4
162245414,Кизбабаев Эдуард Фёдорович,415,11т,2
364307466,Соурчаков Ярослав Валериевич,268,8б,2
680874941,Мотяшева Алена Михайловна,404,7т,2
340443176,Горшкова Наталия Яковлевна,340,11а,2
582836384,Зябрицкий Игорь Виталиевич,332,7а,5
940514840,Шельдяев Игорь Юриевич,97,7д,5
584285140,Шмелькин Максим Викторович,483,9т,5
306435032,Жалкин Алексей Алексеевич,43,7а,3
629194685,Худасов Денис Максимович,70,10д,2
248852794,Швичкова Наталья Эдуардовна,398,7г,4
208140638,Едская Жанна Валерьевна,436,11в,4
